event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
13364	1748853679.8229568	0.015490533562822706	2846	216.02792	507	6855.0054	173.52054	506	5541.8594	357.3911	507	11821.622	511.91867	504	15778.619	0.0	0	0.0	0.0	0	0.0	226.67017	1218	6991.157	197.86542	1217	6387.212
13510	1748853681.1420822	0.02050113895216399	518	440.00677	508	14247.448	336.76794	507	10866.985	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	67.68268	637	1914.4014	0.0	0	0.0	0.0	0	0.0
14176	1748853687.7732937	0.016697588126159513	12120	360.02094	508	11943.5	169.53741	506	5681.9634	0.0	0	0.0	0.0	0	0.0	180.02585	3538	5775.0034	181.48685	3536	5927.813	0.0	0	0.0	0.0	0	0.0
14529	1748853691.1737666	0.019289340101522834	1672	396.00763	508	12223.057	993.71	506	31668.512	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	81.938965	925	2704.2651	0.0	0	0.0	0.0	0	0.0
15749	1748853703.4364777	0.0192962542565267	914	384.01205	508	12595.148	416.4001	505	13545.286	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	205.37033	735	6727.3145	0.0	0	0.0	0.0	0	0.0
16464	1748853709.7301426	0.02452316076294281	2074	376.015	507	11499.277	336.76794	506	10748.319	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	193.4209	1025	5712.658	0.0	0	0.0	0.0	0	0.0
16905	1748853713.551684	0.014860139860139898	404	184.02435	507	5530.802	113.78876	505	4217.504	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	67.68271	607	2528.822	0.0	0	0.0	0.0	0	0.0
17237	1748853716.991022	0.023076923076923106	2788	220.02646	508	6706.9985	189.43774	505	5746.002	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	254.39838	1204	8651.28	130.27496	1203	3909.8315
18118	1748853725.8037329	0.019668737060041352	4226	515.9941	507	17003.016	802.59595	506	24441.775	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	157.58798	1563	4653.4316	0.0	0	0.0	0.0	0	0.0
18261	1748853727.020345	0.02894356005788712	2928	252.03001	507	8155.2173	161.5711	505	4985.125	262.31854	507	8332.263	281.35767	505	8182.6714	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	62.69992	1238	1573.3567
19066	1748853734.5423322	0.018645731108930308	934	204.03235	507	7182.947	233.23697	505	7484.204	365.32666	507	11856.039	249.55402	505	8295.926	0.0	0	0.0	0.0	0	0.0	190.1452	739	5935.2256	122.324066	740	3716.8877
19683	1748853740.5633225	0.01685891748003554	2858	220.02646	507	7179.071	209.35345	506	6826.202	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	76.14111	1221	2172.9966	0.0	0	0.0
20267	1748853746.2997801	0.020470829068577223	1198	276.02118	507	8691.304	356.6683	504	10993.205	0.0	0	0.0	0.0	0	0.0	248.0315	805	7598.8853	229.25381	805	7048.889	0.0	0	0.0	0.0	0	0.0
